vendor_id,name,location,product,reliability_score,avg_price_quintal
V9880,Krishna Traders,Punjab,Maize,3.9,1000.0
V2142,AgroSupply,UP,Rice,3.9,1400.0
V8654,Unknown,Karnataka,Rice,4.0,1200.0
V3931,FarmDirect,UP,Potato,4.8,1100.0
V1564,AgroSupply,Karnataka,Soybean,2.5,1000.0
V2646,AgroSupply,Haryana,Soybean,4.8,1100.0
V2710,FarmDirect,Maharashtra,Soybean,3.5,1100.0
V5444,Krishna Traders,Unknown,Wheat,4.8,1200.0
V7842,Krishna Traders,Karnataka,Wheat,3.9,1000.0
V1684,FarmDirect,Unknown,Maize,4.8,1000.0
V8882,Krishna Traders,Haryana,Wheat,4.8,1200.0
V3318,AgroSupply,Punjab,Soybean,4.0,1200.0
V8353,GreenHarvest,Punjab,Wheat,2.5,1100.0
V1789,AgroSupply,Maharashtra,Potato,2.5,1000.0
V8624,FarmDirect,Unknown,Maize,3.9,1300.0
V9534,FarmDirect,Maharashtra,Wheat,4.0,1400.0
V1313,Unknown,Maharashtra,Wheat,3.9,1300.0
V9443,Krishna Traders,Haryana,Rice,4.0,1400.0
V4223,AgroSupply,Haryana,Wheat,3.9,1400.0
V7485,Krishna Traders,Unknown,Rice,3.9,1400.0
V5694,GreenHarvest,Maharashtra,Soybean,2.5,1400.0
V2327,Krishna Traders,Karnataka,Rice,2.5,1400.0
V5652,GreenHarvest,UP,Potato,4.0,1400.0
V5452,Unknown,UP,Potato,3.9,1200.0
V7394,Unknown,Karnataka,Potato,3.9,1000.0
V6575,AgroSupply,Punjab,Soybean,3.9,1300.0
V4828,Unknown,Unknown,Wheat,3.9,1200.0
V2985,Krishna Traders,Punjab,Wheat,4.0,1200.0
V6880,AgroSupply,Haryana,Wheat,3.9,1000.0
V4203,FarmDirect,Karnataka,Potato,3.9,1200.0
V4622,GreenHarvest,Unknown,Wheat,4.8,1000.0
V8129,FarmDirect,Maharashtra,Potato,3.9,1300.0
V4537,Unknown,UP,Soybean,4.0,1200.0
